night,date,activity,exercise_time,exercise_hr,exercise_index,time_til_sleep,total_hours_sleep,deep_sleep,sleep_hr,sleep_index,quality_score
Thursday,2/20/20,yoga,20,79,55.32,20,486,88,60,57.9,
Friday,2/21/20,NA,0,0,0,138,288,64,64,15.08,0
Saturday,2/22/20,run,34,180,121.68,24,552,89,61,63.92,
Sunday,2/23/20,NA,0,0,0,22,387,123,55,63.68,
Monday,2/24/20,NA,0,0,0,3,387,0,58,15.2,
Tuesday,2/25/20,yoga,41,84,66.72,6,429,91,58,55.58,4
Wednesday,2/26/20,run,46,182,127.68,6,415,61,61,40.76,5
Thursday,2/27/20,indoor cycling,25,163,107.88,3,434,46,62,36.52,4
Friday,2/28/20,NA,0,0,0,28,480,46,62,38.92,2
Saturday,2/29/20,run,35,183,123.72,55,300,29,56,13.6,3
Sunday,3/1/20,run,103,176,146.88,135,290,58,60,14.52,2
Monday,3/2/20,NA,0,0,0,80,389,149,56,68.02,4
Tuesday,3/3/20,strength training,34,135,94.68,4,365,0,62,11.26,3
Wednesday,3/4/20,run,20,178,114.72,11,317,100,58,47.48,2
Thursday,3/5/20,run,33,184,123.6,5,422,78,56,50.5,4
Friday,3/6/20,NA,0,0,0,22,380,152,53,75.34,5
Saturday,3/7/20,run,47,181,127.32,125,404,43,57,22.38,4
Sunday,3/8/20,run,33,174,117.6,10,344,90,58,46.16,3
Monday,3/9/20,NA,0,0,0,75,450,120,53,64.3,3
Tuesday,3/10/20,strength training,54,127,97.8,NA,NA,NA,NA,NA,2
Wednesday,3/11/20,run,60,178,130.8,47,287,45,57,19.2,1
Thursday,3/12/20,yoga,33,94,69.6,10,464,59,55,46.88,3
Friday,3/13/20,yoga,33,102,74.4,15,328,0,56,8.92,1
Saturday,3/14/20,run,45,178,124.8,60,266,50,56,18.1,1
Sunday,3/15/20,run,115,172,149.28,75,206,54,56,12.28,0
Monday,3/16/20,NA,0,0,0,30,230,82,53,31.66,2
Tuesday,3/17/20,cross training,54,122,94.8,8,296,31,53,20.08,4
Wednesday,3/18/20,NA,0,0,0,9,284,100,54,45.96,3
Thursday,3/19/20,run,64,179,133.08,15,373,48,57,32.22,3
Friday,3/20/20,NA,0,0,0,10,367,152,53,75.22,4
Saturday,3/21/20,run,63,178,132,8,394,61,58,39.92,2
Sunday,3/22/20,run,127,179,158.28,75,269,42,60,12.18,1
Monday,3/23/20,NA,0,0,0,21,428,44,56,35.8,4
Tuesday,3/24/20,cross training,47,141,103.32,24,347,45,57,27.48,4
Wednesday,3/25/20,run,67,178,133.68,6,472,91,57,60.3,2
Thursday,3/26/20,NA,0,0,0,55,360,140,51,66,4
Friday,3/27/20,NA,0,0,0,6,404,46,52,37.46,3
Saturday,3/28/20,indoor cycling,52,158,115.68,26,404,93,56,52.6,3
Sunday,3/29/20,run,145,175,163.08,45,350,45,60,24.48,2
Monday,3/30/20,NA,0,0,0,36,317,102,56,46.48,0
Tuesday,3/31/20,NA,0,0,0,0,411,45,54,37.5,3
Wednesday,4/1/20,NA,0,0,0,15,420,0,55,18.5,4
Thursday,4/2/20,NA,0,0,0,8,379,29,58,25.5,2
Friday,4/3/20,NA,0,0,0,28,339,29,55,20.7,3
Saturday,4/4/20,NA,0,0,0,27,405,30,58,26.6,3
Sunday,4/5/20,NA,0,0,0,126,353,80,54,33.1,
Monday,4/6/20,NA,0,0,0,64,326,0,55,4.2,
Tuesday,4/7/20,NA,0,0,0,1,449,0,58,21.6,3
Wednesday,4/8/20,NA,0,0,0,57,344,44,59,21.6,2
Thursday,4/9/20,yoga,28,132,90.4,0,412,73,58,47.2,3
Friday,4/10/20,indoor cycling,25,175,115,17,413,47,60,34.4,3
Saturday,4/11/20,NA,0,0,0,16,385,176,58,84.1,4
Sunday,4/12/20,run,36,186,126,110,323,44,57,16.1,1
Monday,4/13/20,NA,0,0,0,46,380,95,57,48.6,
Tuesday,4/14/20,NA,0,0,0,80,382,46,55,26.6,
Wednesday,4/15/20,yoga,45,117,88.2,42,288,30,58,13.4,
Thursday,4/16/20,run,36,184,124.8,1,413,44,59,35.2,
Friday,4/17/20,NA,0,0,0,39,551,64,56,54.4,2
Saturday,4/18/20,hike,77,133,110.6,60,306,0,59,1,0
Sunday,4/19/20,run,35,180,122,10,341,74,59,39.1,4
Monday,4/20/20,strength training,30,106,75.6,21,340,77,57,39.9,3
Tuesday,4/21/20,NA,0,0,0,19,380,60,56,37.7,3
Wednesday,4/22/20,run,,,0,6,367,0,58,12.9,2
